id,name_s,txt_t
jrc32003D0663-en,2003/663/CFSP: Council Decision 2003/663/CFSP of 10 December 2002 concerning the conclusion of the Agreements between the European Union and Bulgaria Cyprus the Czech Republic Estonia Hungary Iceland Latvia Lithuania Norway Romania the Slovak Republic Slovenia Switzerland Turkey and Ukraine on the participation of these States to the European Union Police Mission EUPM in Bosnia and Herzegovina,"Council Decision 2003663CFSP.  of 10 December 2002.  concerning the conclusion of the Agreements between the European Union and Bulgaria Cyprus the Czech Republic Estonia Hungary Iceland Latvia Lithuania Norway Romania the Slovak Republic Slovenia Switzerland Turkey and Ukraine on the participation of these States to the European Union Police Mission EUPM in Bosnia and Herzegovina.  THE COUNCIL OF THE EUROPEAN UNION Having regard to the Treaty on European Union and in particular Article 24 thereof Having regard to the recommendation from the Presidency Whereas 1 On 11 March 2002 the Council adopted Joint Action 2002210CFSP on the European Union Police Mission1.  2 Article 83 of that Joint Action provides that detailed arrangements regarding the participation of third States to the EUPM shall be subject to agreements pursuant to Article 24 of the Treaty on European Union.  3 Following the Council decision of 14 October 2002 authorising the Presidency to open negotiations the Presidency negotiated agreements with Bulgaria Cyprus the Czech Republic Estonia Hungary Iceland Latvia Lithuania Norway Romania the Slovak Republic Slovenia Switzerland Turkey and Ukraine on their participation to the EUPM.  4 These agreements should be approved HAS DECIDED AS FOLLOWS Article 1.  The agreements between the European Union and Bulgaria Cyprus the Czech Republic Estonia Hungary Iceland Latvia Lithuania Norway Romania the Slovak Republic Slovenia Switzerland Turkey and Ukraine on the participation of these States to the European Union Police Mission EUPM in Bosnia and Herzegovina are hereby approved on behalf of the European Union.  The texts of these agreements are attached to this Decision.  Article 2.  The President of the Council is hereby authorised to designate the persons empowered to sign these agreements in order to bind the European Union.  Article 3.  This Decision shall be published in the Official Journal of the European Union.  Article 4.  This decision shall take effect on the day of its publication.   "
jrc32003D0702-en,2003/702/EC: Commission Decision of 3 October 2003 amending Decision 2000/159/EC on the provisional approval of residue plans of third countries according to Council Directive 96/23/EC Text with EEA relevance notified under document number C2003 3497,"Commission Decision.  of 3 October 2003.  amending Decision 2000159EC on the provisional approval of residue plans of third countries according to Council Directive 9623EC.  notified under document number C2003 3497.  Text with EEA relevance.  2003702EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 9623EC of 29 April 1996 on measures to monitor certain substances and residues thereof in live animals and animal products and repealing Directives 85358EEC and 86469EEC and Decisions 89187EEC and 91664EEC1 as last amended by Regulation EC No 80620032 and in particular Article 29 thereof Having regard to Council Directive 72462EEC of 12 December 1972 on health and veterinary inspection problems upon importation of bovine ovine and caprine animals and swine fresh meat or meat products from third countries3 as last amended by Regulation EC No 80720034 and in particular Article 3 thereof Whereas 1 Commission Decision 2000159EC of 8 February 2000 on the provisional approval of residue plans of third countries according to Council Directive 9623EC5 as last amended by Decision 2003485EC6 lists the third countries which have submitted a plan setting out the guarantees offered by the third country as regards the monitoring of the groups of residues and substances referred to in Annex I to Directive 9623EC.  2 Certain third countries have presented residue monitoring plans to the Commission for products and species not indicated in the Annex of Decision 2000159EC.  The evaluation of these monitoring plans and the additional information requested by the Commission provided sufficient guarantees on the residue monitoring in these third countries for the products or species indicated.  These products and species should be added in the Annex of Decision 2000159EC for these countries.  3 Decision 2000159EC should therefore be amended accordingly.  4 The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health HAS ADOPTED THIS DECISION Article 1.  The Annex to Decision 2000159EC is replaced by the text in the Annex to this Decision.  Article 2.  This Decision is addressed to the Member States.   "
jrc32003D0736-en,2003/736/EC: Commission Decision of 13 October 2003 amending Decision 97/232/EC as regards the loss by Greenland of its status as being officially brucellosis free Text with EEA relevance notified under document number C2003 3575,"Commission Decision.  of 13 October 2003.  amending Decision 97232EC as regards the loss by Greenland of its status as being officially brucellosis free.  notified under document number C2003 3575.  Text with EEA relevance.  2003736EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 72462EEC1 of 12 December 1972 on health and veterinary inspection problems upon importation of bovine ovine and caprine animals and swine fresh meat and meat products from third countries as last amended by Regulation EC No 80720032 and in particular Article 31 thereof Whereas 1 Council Directive 9168EEC3 as last amended by Regulation EC No 80620034 lays down the animal health conditions governing intra-Community trade in ovine and caprine animals.  2 Commission Decision 97232EC5 as last amended by Decision 2003111EC6 draws up lists of third countries from which Member States authorise imports of sheep and goats.  3 Greenland was recognised as being in compliance with the requirements laid down in point II of Chapter 1 of Annex A to Directive 9168EEC and hence was recognised as a third country that had satisfied the criteria for official brucellosis-free status.  4 Greenland has informed the Commission of its intention not to carry out random sampling for Brucellosis melitensis in ovine and caprine animals.  5 Greenland therefore no longer complies with the requirements set out in point II2 of Chapter 1 of Annex A to Directive 9168EEC concerning random testing.  Hence Greenland no longer fulfils the requirements for being recognised as being officially brucellosis free.  6 Decision 97232EC should therefore be amended accordingly.  7 The measures provided for in this decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health HAS ADOPTED THIS DECISION Article 1.  Part 5 of the Annex to Decision 97232EC is replaced by the text in the Annex to this Decision.  Article 2.  This Decision shall apply from 5 November 2003.  Article 3.  This Decision is addressed to the Member States.   "
jrc32003D0724-en,2003/724/EC: Commission Decision of 10 October 2003 granting a temporary derogation from Directive 82/894/EEC as regards the frequency of notification of primary outbreaks of bovine spongiform encephalopathy Text with EEA relevance notified under document number C2003 3561,"Commission Decision.  of 10 October 2003.  granting a temporary derogation from Directive 82894EEC as regards the frequency of notification of primary outbreaks of bovine spongiform encephalopathy.  notified under document number C2003 3561.  Text with EEA relevance.  2003724EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 82894EEC of 21 December 1982 on the notification of animal diseases within the Community1 as last amended by Regulation EC No 80720032 and in particular Article 52 thereof Whereas 1 Directive 82894EEC lays down rules for the notification of outbreaks of certain animal diseases including bovine spongiform encephalopathy BSE in the Community.  That Directive provides that Member States are to notify primary outbreaks of BSE to both the Commission and the other Member States within 24 hours.  Directive 82894EEC also provides that secondary outbreaks of BSE are to be notified to the Commission every week.  2 Various Commission decisions the last one being Decision 9812EC3 granted temporary derogations to the Member States from the requirements under Directive 82894EEC to notify primary outbreaks of BSE within 24 hours.  The temporary derogation granted in Decision 9812EC provides that all outbreaks of BSE are to be notified to the Commission every week.  3 Outbreaks of BSE continue to occur in the Community.  In the light of experience gained the weekly reporting of outbreaks of BSE required for secondary outbreaks appears to be sufficient.  Accordingly it is appropriate to maintain a temporary derogation to Member States permitting primary outbreaks of BSE to be notified to the Commission on a weekly basis.  4 The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health HAS ADOPTED THIS DECISION Article 1.  By way of a derogation from Article 31 of Directive 82894EEC all outbreaks of bovine spongiform encephalopathy shall be notified until 31 December 2007 in accordance with Article 4 of that Directive.  Article 2.  This Decision is addressed to the Member States.   "
jrc32003D0845-en,2003/845/EC: Commission Decision of 5 December 2003 concerning protective measures with regard to imports of certain animals their semen ova and embryos from Albania the Former Yugoslav Republic of Macedonia and Serbia and Montenegro in relation to blue tongue Text with EEA relevance notified under document number C2003 4526,"Commission Decision.  of 5 December 2003.  concerning protective measures with regard to imports of certain animals their semen ova and embryos from Albania the Former Yugoslav Republic of Macedonia and Serbia and Montenegro in relation to blue tongue.  notified under document number C2003 4526.  Text with EEA relevance.  2003845EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 91496EEC of 15 July 1991 laying down the principles governing the organisation of veterinary checks on animals entering the Community from third countries and amending Directives 89662EEC 90425EEC and 90675EEC1 and in particular Article 18 thereof Whereas 1 By Commission Decision 2001706EC of 27 September 2001 concerning protective measures with regard to imports of certain animals and their products from Albania Bulgaria the Former Yugoslav Republic of Macedonia and the Federal Republic of Yugoslavia in relation to blue tongue2 the import of live animals of blue tongue-susceptible species all ruminants from those third countries where outbreaks of blue tongue had been notified was prohibited.  2 On the basis of information received Bulgaria may now be regarded as a blue tongue-free country.  The situation in Albania the Former Yugoslav Republic of Macedonia and Serbia and Montenegro the former Yugoslavia remains unchanged.  3 In the interest of clarity of Community legislation Decision 2001706EC should therefore be repealed and replaced by this Decision.  4 The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health HAS ADOPTED THIS DECISION Article 1.  1.  Member States shall not authorise the imports of live animals of blue tongue-susceptible species originating in or transiting through Albania the Former Yugoslav Republic of Macedonia and Serbia and Montenegro.  2.  Member States shall not authorise the imports of semen ova and embryos of blue tongue-susceptible species originating in Albania the Former Yugoslav Republic of Macedonia and Serbia and Montenegro.  Article 2.  1.  By way of derogation to Article 11 Member States may allow import of live animals of the blue tongue-susceptible species having transited through Albania the Former Yugosla.   "
jrc32003D0905-en,2003/905/EC: Commission Decision of 19 December 2003 amending Decision 2002/862/EC laying down specific conditions for imports of fishery products from Kazakhstan Text with EEA relevance notified under document number C2003 4890,"Commission Decision.  of 19 December 2003.  amending Decision 2002862EC laying down specific conditions for imports of fishery products from Kazakhstan.  notified under document number C2003 4890.  Text with EEA relevance.  2003905EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 91493EEC of 22 July 1991 laying down the health conditions for the production and the placing on the market of fishery products1 and in particular Article 111 thereof Whereas 1 In Commission Decision 2002862EC2 the Committee of Forestry Fishing and Hunting CFFH of the Ministry of Natural Resources and Environment Protection is identified as the competent authority in Kazakhstan for verifying and certifying compliance of fishery and aquaculture products with the requirements of Directive 91493EEC.  2 Following a restructuring of the Kazakhstan administration the competent authority has changed to the Veterinary Department of the Ministry of Agriculture VD-MA.  This new authority is capable of verifying effectively the application of the laws in force.  3 The VD-MA has provided official assurances on compliance with the standards for health controls and monitoring of fishery and aquaculture products as set out in Directive 91493EEC and on the fulfilment of hygienic requirements equivalent to those laid down in that Directive.  4 Decision 2002862EC should therefore be amended accordingly.  5 The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on the Food Chain and Animal Health HAS ADOPTED THIS DECISION Article 1.  Decision 2002862EC is amended as follows 1.  Article 1 is replaced by the following Article 1.  The 'Veterinary Department of the Ministry of Agriculture VD-MA' shall be the competent authority in Kazakhstan for verifying and certifying compliance of fishery and aquaculture products with the requirements of Directive 91493EEC. .  2.  Article 32 is replaced by the following 2.  Certificates must bear the name capacity and signature of the representative of the VD-MA and the latter's official stamp in a colour different from that of other endorsements. .  3.  Annex I is replaced by the text in the Annex to this Decision.  Article 2.  This Decision shall apply from 27 December 2003.  Article 3.  This Decision is addressed to the Member States.   "
jrc32003D0635-en,2003/635/EC: Commission Decision of 20 August 2003 authorising Member States pursuant to Directive 94/55/EC to adopt certain derogations with regard to transport of dangerous goods by road Text with EEA relevance notified under document number C2003 3027,"Commission Decision.  of 20 August 2003.  authorising Member States pursuant to Directive 9455EC to adopt certain derogations with regard to transport of dangerous goods by road.  notified under document number C2003 3027.  Text with EEA relevance.  2003635EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 9455EC of 21 November 1994 on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road1 as amended by Directive 200061EC of the European Parliament and of the Council2 and in particular Article 69 thereof Having regard to the notification received from the Member States concerned Whereas 1 Pursuant to Directive 9455EC Member States may adopt provisions which are less stringent than those provided for in the Annexes to that Directive with regard to the transport within their territory only of small quantities of certain dangerous goods with the exception of substances having a medium or high level of radioactivity.  2 Pursuant to Directive 9455EC Member States may adopt provisions different from those set out in the Annexes to that Directive with regard to local transport limited to their territory.  3 A number of Member States have notified to the Commission their wish to adopt such provisions.  Those provisions have been examined by the Commission which has concluded that the relevant conditions are met.  It is therefore appropriate to authorise the adoption of those provisions.  4 The measures provided for in this Decision are in accordance with the opinion of the Committee on transport of dangerous goods set up by Article 9 of Directive 9455EC HAS ADOPTED THIS DECISION Article 1.  Member States listed in Annex I are authorised to adopt with regard to the transport by road within their territory only of small quantities of certain dangerous goods the provisions set out in that Annex.  Those provisions shall be applied without discrimination.  Article 2.  Member States listed in Annex II are authorised to adopt with regard to local transport limited to their territory the provisions set out in that Annex.  Those provisions shall be applied without discrimination.  Article 3.  This Decision is addressed to the Member States.   "
jrc32003D0618-en,2003/618/EC: Council Decision of 18 February 2003 on the conclusion of an Agreement in the form of an Exchange of Letters between the European Community and the Russian Federation establishing a double-checking system without quantitative limits in respect of the export of certain steel products from the Russian Federation to the European Community,"Council Decision.  of 18 February 2003.  on the conclusion of an Agreement in the form of an Exchange of Letters between the European Community and the Russian Federation establishing a double-checking system without quantitative limits in respect of the export of certain steel products from the Russian Federation to the European Community.  2003618EC.  THE COUNCIL OF THE EUROPEAN UNION Having regard to the Treaty establishing the European Community and in particular Article 133 in conjunction with the first sentence of Article 3002 Having regard to the proposal from the Commission Whereas 1 The Agreement on partnership and cooperation establishing a partnership between the European Communities and their Member States of the one part and the Russian Federation of the other part1 entered into force on 1 December 1997.  2 The European Community and the Russian Federation agreed to establish a double-checking system in respect of certain steel products for the period ranging from 13 October 1997 to 31 December 1999.  This Agreement in the form of an Exchange of Letters was approved on behalf of the European Community by means of Decision 97741EC2.  The system was extended for the period from 1 January 2000 to 31 December 2001 by means of Decision 2000294EC3.  Regulation EC No 2135974 extended by Regulation EC No 79320005 established the corresponding implementing legislation for the Community.  3 The Commission has finalised negotiations for an Agreement in the form of an Exchange of Letters between the European Community and the Russian Federation establishing a double-checking system without quantitative limits in respect of the export of certain steel products from the Russian Federation to the European Community HAS DECIDED AS FOLLOWS Article 1.  1.  The Agreement in the form of an Exchange of Letters between the European Community and the Russian Federation establishing a double-checking system without quantitative limits in respect of the export of certain steel products from the Russian Federation to the European Community is hereby approved on behalf of the European Community.  2.  The text of the Agreement is annexed to this Decision.  Article 2.  The President of the Council is hereby authorised to designate the persons empowered to sign the Agreement in the form of an Exchange of Letters referred to in Article 1 in order to bind the Community.   "
jrc32003D0424-en,2003/424/EC: Commission Decision of 6 June 2003 amending Decision 96/603/EC establishing the list of products belonging to Classes A No contribution to fire provided for in Decision 94/611/EC implementing Article 20 of Council Directive 89/106/EEC on construction products Text with EEA relevance notified under document number C2003 1673,"Commission Decision.  of 6 June 2003.  amending Decision 96603EC establishing the list of products belonging to Classes A No contribution to fire provided for in Decision 94611EC implementing Article 20 of Council Directive 89106EEC on construction products.  notified under document number C2003 1673.  Text with EEA relevance.  2003424EC.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Directive 89106EEC of 21 December 1988 on the approximation of laws regulations and administrative provisions of the Member States relating to construction products1 as amended by Directive 9368EEC2 Having regard to Commission Decision 2000147EC of 8 February 2000 implementing Council Directive 89106EEC as regards the classification of the reaction to fire performance of construction products3 and in particular Article 11 thereof Whereas 1 Commission Decision 96603EC4 as amended by Decision 2000605EC5 established a list of products belonging to Classes A No contribution to fire provided for in Tables 1 and 2 of the Annex to Commission Decision 94611EC6 which described the European classification system for expressing the reaction to fire performance of construction products.  2 Decision 94611EC has been replaced by Decision 2000147EC.  3 The notes for Mortar with inorganic binding agents in the table set out in the Annex to Decision 96603EC should be adapted to technical progress.  4 Decision 96603EC should therefore be amended accordingly.  5 The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Construction HAS ADOPTED THIS DECISION Article 1.  In the table set out in the Annex to Decision 96603EC for Mortar with inorganic binding agents the notes Renderingplastering mortars and mortars for floor screeds based on one or more inorganic binding agents e. g.  cement lime masonry cement and gypsum are replaced by Renderingplastering mortars mortars for floor screeds and masonry mortars based on one or more inorganic binding agents e. g.  cement lime masonry cement and gypsum.  Article 2.  This Decision is addressed to the Member States.   "
jrc32003R1494-en,Commission Regulation EC No 1494/2003 of 25 August 2003 setting for the 2003/04 marketing year the buying-in price to be applied by storage agencies for unprocessed dried grapes and unprocessed dried figs,"Commission Regulation EC No 14942003.  of 25 August 2003.  setting for the 200304 marketing year the buying-in price to be applied by storage agencies for unprocessed dried grapes and unprocessed dried figs.  THE COMMISSION OF THE EUROPEAN COMMUNITIES Having regard to the Treaty establishing the European Community Having regard to Council Regulation EC No 220196 of 28 October 1996 on the common organisation of the markets in processed fruit and vegetable products1 as last amended by Commission Regulation EC No 45320022 and in particular Article 98 thereof Whereas 1 The criteria for setting the price at which storage agencies buy in unprocessed dried figs and unprocessed dried grapes are laid down in Article 92 of Regulation EC No 220196 and the conditions on which the storage agencies buy in and manage the products are laid down in Commission Regulation EC No 16221999 of 23 July 1999 laying down detailed rules for applying Council Regulation EC No 220196 as regards the scheme for the storage of unprocessed dried grapes and unprocessed dried figs3.  The buying-in price should therefore be set for the 200304 marketing year on the basis for dried grapes of the evolution in world prices and for dried figs of the minimum price laid down in Commission Regulation EC No 14592003 of 18 August 2003 fixing for the marketing year 20032004 the minimum price to be paid to producers for unprocessed dried figs and the amount of production aid for dried figs4.  2 The measures provided for in this Regulation are in accordance with the opinion of the Management Committee for Products Processed from Fruit and Vegetables HAS ADOPTED THIS REGULATION Article 1.  For the 200304 marketing year the buying-in price referred to in Article 92 of Regulation EC No 220196 shall be - EUR 37854 per tonne net for unprocessed dried grapes - EUR 54270 per tonne net for unprocessed dried figs.  Article 2.  This Regulation shall enter into force on the third day following its publication in the Official Journal of the European Union.  This Regulation shall be binding in its entirety and directly applicable in all Member States.   "
