id,name_s,txt_t
jrc21996A0706_02-es,Tercer Protocolo del Acuerdo General sobre el Comercio de Servicios - Decision del Consejo de Comercio de Servicios sobre compromisos en materia de movimiento de personas fisicas,"TERCER PROTOCOLO ANEXO AL ACUERDO GENERAL SOBRE EL COMERCIO DE SERVICIOS.  LOS MIEMBROS DE LA ORGANIZACION MUNDIAL DEL COMERCIO cuyas listas de compromisos especificos en el marco del Acuerdo General sobre el Comercio de Servicios relativas al movimiento de personas fisicas figuran anexas al presente Protocolo HABIENDO llevado a cabo negociaciones de conformidad con la Decision ministerial relativa a las negociaciones sobre el movimiento de personas fisicas adoptada en Marrakech el 15 de abril de 1994 TENIENDO EN CUENTA los resultados de dichas negociaciones TENIENDO EN CUENTA la Decision relativa al movimiento de personas fisicas adoptada por el Consejo de Comercio de Servicios el 30 de junio de 1995 CONVIENEN LO SIGUIENTE 1.  Los compromisos sobre el movimiento de personas fisicas anexos al presente Protocolo relativos a un Miembro complementaran o reemplazaran en la fecha en que entre en vigor para el mismo el presente Protocolo a las anotaciones pertinentes sobre el movimiento de personas fisicas consignadas en la lista de compromisos especificos de ese Miembro.  2.  El presente Protocolo estara abierto a la aceptacion de los Miembros interesados mediante firma o formalidad de otra clase hasta el 30 de junio de 1996.  3.  El presente Protocolo entrara en vigor treinta dias despues del 1 de enero de 1996 para los Miembros que lo hayan aceptado para esa fecha.  para los que lo acepten despues de esta en una fecha que no sera posterior al 30 de junio de 1996 entrara en vigor treinta dias despues de la fecha de cada aceptacion.  Si un Miembro cuya lista figure anexa al presente Protocolo no lo acepta para esa fecha la cuestion se remitira al Consejo de Comercio de Servicios para que la considere y adopte las disposiciones apropiadas.  4.  El presente Protocolo quedara depositado en poder del Director General de la Organizacion Mundial del Comercio.  El Director General remitira con prontitud a cada Miembro una copia autenticada del presente Protocolo y notificaciones de las aceptaciones del mismo efectuadas de conformidad con el punto 3.  5.  El presente Protocolo sera registrado con arreglo a las disposiciones del articulo 102 de la Carta de las Naciones Unidas.   "
jrc22001A1211_01-es,Convenio Internacional del Cafe de 2001,"INDICE.  Articulo.  Pagina.  Preambulo.  CAPITULO I - OBJETIVOS.  Objetivos.  CAPITULO II - DEFINICIONES.  Definiciones.  CAPITULO III - OBLIGACIONES GENERALES DE LOS MIEMBROS.  Obligaciones generales de los Miembros.  CAPITULO IV - MIEMBROS.  Miembros de la Organizacion.  Afiliacion separada para los territorios designados.  Afiliacion por grupos.  CAPITULO V - ORGANIZACION INTERNACIONAL DEL CAFE.  Sede y estructura de la Organizacion Internacional del Cafe.  Privilegios e inmunidades.  CAPITULO VI - CONSEJO INTERNACIONAL DEL CAFE.  Composicion del Consejo Internacional del Cafe.  Poderes y funciones del Consejo.  Presidente y Vicepresidentes del Consejo.  Periodos de sesiones del Consejo.  Votos.  Procedimiento de votacion del Consejo.  Decisiones del Consejo.  Colaboracion con otras organizaciones.  CAPITULO VII - JUNTA EJECUTIVA.  Composicion y reuniones de la Junta Ejecutiva.  Eleccion de la Junta Ejecutiva.  Competencia de la Junta Ejecutiva.  Procedimiento de votacion de la Junta Ejecutiva.  CAPITULO VIII - SECTOR PRIVADO CAFETERO.  Conferencia Mundial del Cafe.  Junta Consultiva del Sector Privado.  CAPITULO IX - DISPOSICIONES FINANCIERAS.  Finanzas.  Determinacion del Presupuesto Administrativo y de las contribuciones.  Pago de las contribuciones.  Responsabilidad financiera.  Certificacion y publicacion de cuentas.  CAPITULO X - EL DIRECTOR EJECUTIVO Y EL PERSONAL.  El Director Ejecutivo y el personal.  CAPITULO XI - INFORMACION ESTUDIOS E INFORMES.  Informacion.  Certificados de origen.  Estudios e informes.  CAPITULO XII - DISPOSICIONES GENERALES.  Preparativos de un nuevo Convenio.  Eliminacion de obstaculos al consumo.  Promocion.  Medidas relativas al cafe elaborado.  Mezclas y sucedaneos.  Consultas y colaboracion con organizaciones no gubernamentales.  Conductos comerciales establecidos.  Economia cafetera sostenible.  Nivel de vida y condiciones de trabajo.  CAPITULO XIII - CONSULTAS CONTROVERSIAS Y RECLAMACIONES.  Consultas.  Controversias y reclamaciones.  CAPITULO XIV - DISPOSICIONES FINALES.  Firma.  Ratificacion aceptacion y aprobacion.  Entrada en vigor.  Adhesion.  Reservas.  Extension a los territorios designados.  Retiro voluntario.  Exclusion.  Ajuste de cuentas con los Miembros que se retiren o hayan sido excluidos.  Duracion y terminacion.  Enmiendas.  Disposiciones suplementarias y transitorias.  Textos autenticos del Convenio.   "
jrc22002D0151-es,Decision del Comite Mixto del EEE n 151/2002 de 8 de noviembre de 2002 por la que se modifica el anexo XXI Estadisticas del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 1512002.  de 8 de noviembre de 2002.  por la que se modifica el anexo XXI Estadisticas del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo adaptado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en adelante denominado el Acuerdo y en particular su articulo 98 Considerando que 1 El anexo XXI del Acuerdo fue modificado por la Decision del Comite Mixto del EEE n 1102002 de 12 de julio de 20021.  2 Es preciso incorporar al Acuerdo la Decision 98377CE de la Comision de 18 de mayo de 1998 por la que se adapta el anexo I del Reglamento CEE n 57188 del Consejo relativo a la organizacion de las encuestas comunitarias sobre la estructura de las explotaciones agricolas2.  DECIDE Articulo 1.  El punto 23 Reglamento CEE n 57188 del Consejo del anexo XXI del Acuerdo se modificara del modo siguiente a Se anadira el guion siguiente - 398 D 0377 Decision 98377CE de la Comision de 18 de mayo de 1998 DO L 168 de 13. 6. 1998 p.  29. .  b El texto de la adaptacion de la letra e se sustituira por texto el siguiente La lista que figura en el apendice 1 del presente anexo se anadira al anexo I del Reglamento CEE n 57188 del Consejo. .  c La seccion APENDICE 1 DEL ANEXO XXI se insertara a continuacion del anexo XXI.  d La lista que figura en el anexo de la presente Decision que constituira el texto del apendice 1 del anexo XXI se insertara precedida del epigrafe LISTA DE CARACTERISTICAS.  Articulo 2.  Los textos de la Decision 98377CE en lenguas islandesa y noruega anejos a las respectivas versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de noviembre de 2002 siempre que se hayan transmitido al Comite Mixto del EEE todas las notificaciones establecidas en virtud del apartado 1 del articulo 103 del Acuerdo3.  Articulo 4.  La presente Decision se publicara en la seccion EEE y en el Suplemento EEE del Diario Oficial de las Comunidades Europeas.   "
jrc22004D0072-es,2004/72/: Decision del Comite Mixto del EEE n72/2004 de 8 de junio de 2004 por la que se modifica el anexo II Reglamentaciones tecnicas normas ensayos y certificacion del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 722004.  de 8 de junio de 2004.  por la que se modifica el anexo II Reglamentaciones tecnicas normas ensayos y certificacion del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo II del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo que se firmo en Luxemburgo el 14 de octubre de 2003 1.  2 Debe incorporarse al Acuerdo la Directiva 200332CE de la Comision de 23 de abril de 2003 por la que se introducen especificaciones detalladas con arreglo a los requisitos establecidos en la Directiva 9342CEE del Consejo para productos sanitarios en cuya elaboracion se utilizan tejidos de origen animal 2.  DECIDE Articulo 1.  Despues del punto 4 Directiva 200312CE de la Comision del capitulo XXX del anexo II del Acuerdo se anadira el siguiente punto 5.  32003 L 0032 Directiva 200332CE de la Comision de 23 de abril de 2003 por la que se introducen especificaciones detalladas con arreglo a los requisitos establecidos en la Directiva 9342CEE del Consejo para productos sanitarios en cuya elaboracion se utilizan tejidos de origen animal DO L 105 de 26. 4. 2003 p.  18. .  Articulo 2.  Los textos de la Directiva 200332CE en lenguas islandesa y noruega anejos a las correspondientes versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan efectuado al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el Suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0069-es,2004/69/: Decision del Comite Mixto del EEE n69/2004 de 8 de junio de 2004 por la que se modifica el anexo I Cuestiones veterinarias y fitosanitarias del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 692004.  de 8 de junio de 2004.  por la que se modifica el anexo I Cuestiones veterinarias y fitosanitarias del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo I del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo firmado en Luxemburgo el 14 de octubre de 2003 1.  2 La Decision 2004205CE de la Comision de 1 de marzo de 2004 por la que se establecen medidas transitorias para el comercio intracomunitario de esperma ovulos y embriones de las especies bovina porcina ovina caprina y equina obtenidos en la Republica Checa Estonia Chipre Letonia Lituania Hungria Malta Polonia Eslovenia y Eslovaquia 2 debe incorporarse al Acuerdo.  3 La presente Decision no debe aplicarse a Islandia ni a Liechtenstein.  DECIDE Articulo 1.  Despues del punto 68 Decision 2002878CE de la Comision de la parte 4. 2 del capitulo I del anexo I del Acuerdo se anadira el punto siguiente 69.  32004 D 0205 Decision 2004205CE de la Comision de 1 de marzo de 2004 por la que se establecen medidas transitorias para el comercio intracomunitario de esperma ovulos y embriones de las especies bovina porcina ovina caprina y equina obtenidos en la Republica Checa Estonia Chipre Letonia Lituania Hungria Malta Polonia Eslovenia y Eslovaquia DO L 65 de 3. 3. 2004 p.  23. .  Articulo 2.  El texto de la Decision 2004205CE en lengua noruega anejo a la correspondiente version linguistica de la presente Decision es autentico.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan efectuado al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el Suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0081-es,2004/81/: Decision del Comite Mixto del EEE n81/2004 de 8 de junio de 2004 por la que se modifica el anexo XVI Contratos publicos del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 812004.  de 8 de junio de 2004.  por la que se modifica el anexo XVI Contratos publicos del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo XVI del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo el Acuerdo de ampliacion del EEE se firmo en Luxemburgo el 14 de octubre de 2003 1.  2 Debe incorporarse al Acuerdo el Reglamento CE no 21512003 de la Comision de 16 de diciembre de 2003 por el que se modifica el Reglamento CE no 21952002 del Parlamento Europeo y del Consejo por el que se aprueba el vocabulario comun de contratos publicos CPV 2 modificado por el DO L 330 de 18. 12. 2003 p.  34.  DECIDE Articulo 1.  En el punto 6a Reglamento CE no 21952002 del Parlamento Europeo y del Consejo del anexo XVI del Acuerdo se anadira el texto siguiente  modificado por - 32003 R 2151 Reglamento CE no 21512003 de la Comision de 16 de diciembre de 2003 por el que se modifica el Reglamento CE no 21952002 del Parlamento Europeo y del Consejo DO L 329 de 17. 12. 2003 p.  1.  modificado por el DO L 330 de 18. 12. 2003 p.  34. .  Articulo 2.  Los textos de Reglamento CE no 21512003 tal y como se modifico por el DO L 330 de 18. 12. 2003 p.  34 en lenguas islandesa y noruega anejos a las respectivas versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan transmitido al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0073-es,2004/73/: Decision del Comite Mixto del EEE n73/2004 de 8 de junio de 2004 por la que se modifica el anexo IX Servicios financieros del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 732004.  de 8 de junio de 2004.  por la que se modifica el anexo IX Servicios financieros del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo IX del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo el Acuerdo de ampliacion del EEE que se firmo en Luxemburgo el 14 de octubre de 2003 1.  2 La Directiva 200371CE del Parlamento Europeo y del Consejo de 4 de noviembre de 2003 sobre el folleto que debe publicarse en caso de oferta publica o admision a cotizacion de valores y por la que se modifica la Directiva 200134CE 2 debe incorporarse al Acuerdo.  DECIDE Articulo 1.  El anexo IX del Acuerdo se modificara como sigue 1 En el punto 24 Directiva 200134CE del Parlamento Europeo y del Consejo se anadira el siguiente guion modificado por - 32003 L 0071 Directiva 200371CE del Parlamento Europeo y del Consejo de 4 de noviembre de 2003 DO L 345 de 31. 12. 2003 p.  64. .  2 Despues del punto 29a Directiva 20036CE del Parlamento Europeo y del Consejo se anadira el siguiente punto 29b.  32003 L 0071 La Directiva 200371CE del Parlamento Europeo y del Consejo de 4 de noviembre de 2003 sobre el folleto que debe publicarse en caso de oferta publica o admision a cotizacion de valores y por la que se modifica la Directiva 200134CE DO L 345 de 31. 12. 2003 p.  64. .  Articulo 2.  Los textos de la Directiva 200371CE en lenguas islandesa y noruega anejos a las correspondientes versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan efectuado al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el Suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0074-es,2004/74/: Decision del Comite Mixto del EEE n74/2004 de 8 de junio de 2004 por la que se modifica el anexo XI Servicios de telecomunicaciones del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 742004.  de 8 de junio de 2004.  por la que se modifica el anexo XI Servicios de telecomunicaciones del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo XI del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo el Acuerdo de ampliacion del EEE firmado en Luxemburgo el 14 de octubre de 2003 1.  2 La Recomendacion 2003558CE de la Comision de 25 de julio de 2003 relativa al tratamiento de la informacion sobre la ubicacion de las personas que efectuan llamadas en redes de comunicaciones electronicas para su uso en servicios de llamadas de urgencia con capacidad de localizacion 2 debe incorporarse al Acuerdo.  DECIDE Articulo 1.  Despues del punto 5cn Decision 2003548CE de la Comision del anexo XI del Acuerdo se anadira el siguiente punto 5co.  32003 H 0558 Recomendacion 2003558CE de la Comision de 25 de julio de 2003 relativa al tratamiento de la informacion sobre la ubicacion de las personas que efectuan llamadas en redes de comunicaciones electronicas para su uso en servicios de llamadas de urgencia con capacidad de localizacion DO L 189 de 29. 7. 2003 p.  49. .  Articulo 2.  Los textos de la Recomendacion 2003558CE en lenguas islandesa y noruega anejos a las correspondientes versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan efectuado al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el Suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0076-es,2004/76/: Decision del Comite Mixto del EEE n76/2004 de 8 de junio de 2004 por la que se modifica el anexo XIII Transporte del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 762004.  de 8 de junio de 2004.  por la que se modifica el anexo XIII Transporte del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo XIII del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo que se firmo en Luxemburgo el 14 de octubre de 2003 1.  2 Debe incorporarse al Acuerdo el Reglamento CE no 23272003 del Parlamento Europeo y del Consejo de 22 de diciembre de 2003 por el que se instaura un sistema provisional de puntos aplicable a los camiones que transiten por Austria para 2004 en el marco de una politica de transporte sostenible 2.  DECIDE Articulo 1.  Despues del punto 26d Reglamento CE no 79294 de la Comision del anexo XIII del Acuerdo se anadira el siguiente punto 26e.  32003 R 2327 Reglamento CE no 23272003 del Parlamento Europeo y del Consejo de 22 de diciembre de 2003 por el que se instaura un sistema provisional de puntos aplicable a los camiones que transiten por Austria para 2004 en el marco de una politica de transporte sostenible DO L 345 de 31. 12. 2003 p.  30.  A efectos del presente Acuerdo en las disposiciones del Reglamento se introduciran las siguientes adaptaciones a El anexo II del Reglamento pasara a llamarse anexo III.  b Se insertara el siguiente texto despues del anexo I del Reglamento .  Articulo 2.  Los textos del Reglamento CE no 23272003 en lenguas islandesa y noruega anejos a las correspondientes versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan efectuado al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el Suplemento EEE del Diario Oficial de la Union Europea.   "
jrc22004D0082-es,2004/82/: Decision del Comite Mixto del EEE n82/2004 de 8 de junio de 2004 por la que se modifica el anexo XX Medio ambiente del Acuerdo EEE,"Decision del Comite Mixto del EEE.  no 822004.  de 8 de junio de 2004.  por la que se modifica el anexo XX Medio ambiente del Acuerdo EEE.  EL COMITE MIXTO DEL EEE Visto el Acuerdo sobre el Espacio Economico Europeo modificado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Economico Europeo en lo sucesivo denominado el Acuerdo y en particular su articulo 98 Considerando lo siguiente 1 El anexo XX del Acuerdo fue modificado por el Acuerdo sobre la participacion de la Republica Checa la Republica de Estonia la Republica de Chipre la Republica de Hungria la Republica de Letonia la Republica de Lituania la Republica de Malta la Republica de Polonia la Republica de Eslovenia y la Republica Eslovaca en el Espacio Economico Europeo el Acuerdo de ampliacion del EEE firmado en Luxemburgo el 14 de octubre de 2003 1.  2 Debe incorporarse al Acuerdo la Directiva 200296CE del Parlamento Europeo y del Consejo de 27 de enero de 2003 sobre residuos de aparatos electricos y electronicos RAEE 2.  DECIDE Articulo 1.  En el punto 32f Directiva 200076CE del Parlamento Europeo y del Consejo del anexo XX del Acuerdo se anadira el punto siguiente 32fa.  32002 L 0096 Directiva 200296CE del Parlamento Europeo y del Consejo de 27 de enero de 2003 sobre residuos de aparatos electricos y electronicos RAEE DO L 37 de 13. 2. 2003 p.  24.  A efectos del presente Acuerdo en las disposiciones de la Directiva se introducira la siguiente adaptacion En la letra a del apartado 4 del articulo 17 se insertara la palabra  Islandia despues de la palabra Grecia. .  Articulo 2.  Los textos de la Directiva 200296CE en lenguas islandesa y noruega anejos a las respectivas versiones linguisticas de la presente Decision son autenticos.  Articulo 3.  La presente Decision entrara en vigor el 9 de junio de 2004 siempre que se hayan transmitido al Comite Mixto del EEE todas las notificaciones previstas en el apartado 1 del articulo 103 del Acuerdo 3.  Articulo 4.  La presente Decision se publicara en la Seccion EEE y en el suplemento EEE del Diario Oficial de la Union Europea.   "
