id,name_s,txt_t
jrc32006R1294-fr,Reglement CE n o 1294/2006 de la Commission du 30 aout 2006 relatif a larret de la peche du brosme dans la zone CIEM IV eaux norvegiennes par les navires battant pavillon de lAllemagne,"Reglement CE no 12942006 de la Commission.  du 30 aout 2006.  relatif a larret de la peche du brosme dans la zone CIEM IV eaux norvegiennes par les navires battant pavillon de lAllemagne.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 23712002 du Conseil du 20 decembre 2002 relatif a la conservation et a l'exploitation durable des ressources halieutiques dans le cadre de la politique commune de la peche 1 et notamment son article 26 paragraphe 4 vu le reglement CEE no 284793 du Conseil du 12 octobre 1993 instituant un regime de controle applicable a la politique commune de la peche 2 et notamment son article 21 paragraphe 3 considerant ce qui suit 1 Le reglement CE no 512006 du Conseil du 22 decembre 2005 etablissant pour 2006 les possibilites de peche et les conditions associees pour certains stocks halieutiques et groupes de stocks halieutiques applicables dans les eaux communautaires et pour les navires communautaires dans les eaux soumises a des limitations de capture 3 fixe des quotas pour 2006.  2 Selon les informations communiquees a la Commission les captures du stock vise a lannexe du present reglement effectuees par les navires battant pavillon de lEtat membre ou immatricules dans lEtat membre vise a lannexe ont epuise le quota attribue pour 2006.  3 Il convient des lors dinterdire la peche de ce stock ainsi que sa conservation a bord son transbordement et son debarquement A ARRETE LE PRESENT REGLEMENT Article premier.  Epuisement du quota.  Le quota de peche attribue pour 2006 a lEtat membre vise a lannexe du present reglement pour le stock qui y est indique est repute epuise a compter de la date fixee dans ladite annexe.  Article 2.  Interdictions.  La peche dans le stock vise a lannexe du present reglement par les navires battant pavillon de lEtat membre concerne ou enregistres dans celui-ci est interdite a compter de la date fixee dans cette annexe.  Il est interdit de conserver a bord de transborder et de debarquer des captures prelevees dans ce stock par ces navires apres cette date.  Article 3.  Entree en vigueur.  Le present reglement entre en vigueur le jour suivant celui de sa publication au Journal officiel de lUnion europeenne.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1292-fr,Reglement CE n o 1292/2006 de la Commission du 30 aout 2006 relatif a larret de la peche du cabillaud dans les zones CIEM I et II eaux norvegiennes par les navires battant pavillon de lEspagne,"Reglement CE no 12922006 de la Commission.  du 30 aout 2006.  relatif a larret de la peche du cabillaud dans les zones CIEM I et II eaux norvegiennes par les navires battant pavillon de lEspagne.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 23712002 du Conseil du 20 decembre 2002 relatif a la conservation et a l'exploitation durable des ressources halieutiques dans le cadre de la politique commune de la peche 1 et notamment son article 26 paragraphe 4 vu le reglement CEE no 284793 du Conseil du 12 octobre 1993 instituant un regime de controle applicable a la politique commune de la peche 2 et notamment son article 21 paragraphe 3 considerant ce qui suit 1 Le reglement CE no 512006 du Conseil du 22 decembre 2005 etablissant pour 2006 les possibilites de peche et les conditions associees pour certains stocks halieutiques et groupes de stocks halieutiques applicables dans les eaux communautaires et pour les navires communautaires dans les eaux soumises a des limitations de capture 3 prevoit des quotas pour 2006.  2 Dapres les informations dont dispose la Commission les captures dans le stock vise a lannexe du present reglement par les navires battant pavillon de lEtat membre concerne ou enregistres dans celui-ci ont epuise le quota alloue pour 2006.  3 Il convient par consequent dinterdire la peche dans ce stock ainsi que la conservation a bord le transbordement et le debarquement de captures issues de ce stock A ARRETE LE PRESENT REGLEMENT Article premier.  Epuisement du quota.  Le quota de peche attribue pour 2006 a lEtat membre vise dans lannexe du present reglement pour le stock concerne est considere comme epuise a compter de la date fixee dans cette annexe.  Article 2.  Interdictions.  La peche dans le stock vise a lannexe du present reglement par les navires battant pavillon de lEtat membre concerne ou enregistres dans celui-ci est interdite a compter de la date fixee dans cette annexe.  Il est interdit de conserver a bord de transborder et de debarquer des captures prelevees dans ce stock par ces navires apres cette date.  Article 3.  Entree en vigueur.  Le present reglement entre en vigueur le jour suivant celui de sa publication au Journal officiel de l'Union europeenne.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1298-fr,Reglement CE n o 1298/2006 de la Commission du 31 aout 2006 fixant les restitutions a lexportation pour le sucre blanc et le sucre brut exportes en letat,"Reglement CE no 12982006 de la Commission.  du 31 aout 2006.  fixant les restitutions a lexportation pour le sucre blanc et le sucre brut exportes en letat.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 3182006 du Conseil du 20 fevrier 2006 portant organisation commune des marches dans le secteur du sucre 1 et notamment son article 33 paragraphe 2 deuxieme alinea considerant ce qui suit 1 Aux termes de larticle 32 du reglement CE no 3182006 la difference entre les prix des produits vises a l'article 1er paragraphe 1 point b dudit reglement sur le marche mondial et sur le marche communautaire peut etre couverte par une restitution a lexportation.  2 Eu egard a la situation actuelle du marche dans le secteur du sucre des restitutions a lexportation doivent etre fixees conformement aux regles et a certains criteres prevus aux articles 32 et 33 du reglement CE no 3182006.  3 Le premier alinea de larticle 33 paragraphe 2 du reglement CE no 3182006 dispose que la restitution peut etre differenciee selon les destinations lorsque la situation du marche mondial ou les exigences specifiques de certains marches le justifient.  4 Seules peuvent etre allouees des restitutions aux produits autorises a circuler librement dans la Communaute et qui remplissent les conditions du reglement CE no 3182006.  5 Les negociations dans le cadre des accords europeens entre la Communaute europeenne et la Roumanie et la Bulgarie visent tout particulierement a liberaliser les echanges des produits regis par lorganisation commune de marche concernee.  Il importe donc de supprimer les restitutions a lexportation pour ces deux pays.  6 Les mesures prevues au present reglement sont conformes a l'avis du comite de gestion du sucre A ARRETE LE PRESENT REGLEMENT Article premier.  Les produits beneficiant des restitutions a lexportation prevues a larticle 32 du reglement CE no 3182006 et les montants de ces restitutions sont specifies a lannexe du present reglement.  Article 2.  Le present reglement entre en vigueur le 1er septembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1309-fr,Reglement CE n o 1309/2006 de la Commission du 31 aout 2006 fixant le correctif applicable a la restitution pour les cereales,"Reglement CE no 13092006 de la Commission.  du 31 aout 2006.  fixant le correctif applicable a la restitution pour les cereales.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 17842003 du Conseil du 29 septembre 2003 portant organisation commune des marches dans le secteur des cereales 1 et notamment son article 15 paragraphe 2 considerant ce qui suit 1 En vertu de l'article 14 paragraphe 2 du reglement CE no 17842003 la restitution applicable aux exportations de cereales le jour du depot de la demande de certificat doit etre appliquee sur demande a une exportation a realiser pendant la duree de validite du certificat.  Dans ce cas un correctif peut etre applique a la restitution.  2 Le reglement CE no 150195 de la Commission du 29 juin 1995 etablissant certaines modalites d'application du reglement CEE no 176692 du Conseil en ce qui concerne l'octroi des restitutions a l'exportation ainsi que les mesures a prendre en cas de perturbation dans le secteur des cereales 2 a permis la fixation d'un correctif pour les produits repris a l'article 1er points a b et c du reglement CE no 17842003.  Ce correctif doit etre calcule en prenant en consideration les elements figurant a l'article 1er du reglement CE no 150195.  3 La situation du marche mondial ou les exigences specifiques de certains marches peuvent rendre necessaire la differenciation du correctif suivant la destination.  4 Le correctif doit etre fixe selon la meme procedure que la restitution.  Il peut etre modifie dans l'intervalle de deux fixations.  5 Il resulte des dispositions precitees que le correctif doit etre fixe conformement a l'annexe du present reglement.  6 Les mesures prevues au present reglement sont conformes a l'avis du comite de gestion des cereales A ARRETE LE PRESENT REGLEMENT Article premier.  Le correctif applicable aux restitutions fixees a l'avance pour les exportations des produits vises a l'article 1er points a b et c du reglement CE no 17842003 a l'exception du malt est fixe en annexe.  Article 2.  Le present reglement entre en vigueur le 1er septembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1335-fr,Reglement CE n o 1335/2006 de la Commission du 8 septembre 2006 concernant la delivrance de certificats d'importation pour les viandes bovines de haute qualite fraiches refrigerees ou congelees,"Reglement CE no 13352006 de la Commission.  du 8 septembre 2006.  concernant la delivrance de certificats d'importation pour les viandes bovines de haute qualite fraiches refrigerees ou congelees.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 12541999 du Conseil du 17 mai 1999 portant organisation commune des marches dans le secteur de la viande bovine 1 vu le reglement CE no 93697 de la Commission du 27 mai 1997 portant ouverture et mode de gestion des contingents tarifaires pour les viandes bovines de haute qualite fraiches refrigerees ou congelees et pour la viande de buffle congelee 2 considerant ce qui suit 1 Le reglement CE no 93697 prevoit en ses articles 4 et 5 les conditions des demandes et la delivrance des certificats d'importation des viandes visees en son article 2 point f.  2 Le reglement CE no 93697 a son article 2 point f a fixe a 11500 t la quantite de viandes bovines de haute qualite fraiches refrigerees ou congelees repondant a la definition etablie dans cette meme disposition pouvant etre importees a des conditions speciales pour la periode du 1er juillet 2006 au 30 juin 2007.  3 Il y a lieu de rappeler que les certificats prevus par le present reglement ne peuvent etre utilises pendant toute leur duree de validite que sous reserve des regimes existant en matiere veterinaire A ARRETE LE PRESENT REGLEMENT Article premier.  1.  Chaque demande de certificat d'importation deposee du 1er au 5 septembre 2006 pour les viandes bovines de haute qualite fraiches refrigerees ou congelees visees a l'article 2 point f du reglement CE no 93697 est satisfaite integralement.  2.  Des demandes de certificats peuvent etre deposees conformement a l'article 5 du reglement CE no 93697 au cours des cinq premiers jours du mois d'octobre 2006 pour 3310168 t.  Article 2.  Le present reglement entre en vigueur le 11 septembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1715-fr,Reglement CE n o 1715/2006 de la Commission du 20 novembre 2006 interdisant la peche du sebaste dans les zones CIEM V XII et XIV par les navires battant pavillon du Portugal,"Reglement CE no 17152006 de la Commission.  du 20 novembre 2006.  interdisant la peche du sebaste dans les zones CIEM V XII et XIV par les navires battant pavillon du Portugal.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 23712002 du Conseil du 20 decembre 2002 relatif a la conservation et a lexploitation durable des ressources halieutiques dans le cadre de la politique commune de la peche 1 et notamment son article 26 paragraphe 4 vu le reglement CEE no 284793 du Conseil du 12 octobre 1993 instituant un regime de controle applicable a la politique commune de la peche 2 et notamment son article 21 paragraphe 3 considerant ce qui suit 1 Le reglement CE no 512006 du Conseil du 22 decembre 2005 etablissant pour 2006 les possibilites de peche et les conditions associees pour certains stocks halieutiques et groupes de stocks halieutiques applicables dans les eaux communautaires et pour les navires communautaires dans les eaux soumises a des limitations de capture 3 prevoit des quotas pour 2006.  2 Il ressort des informations communiquees a la Commission que les captures du stock vise a lannexe du present reglement effectuees par les navires battant pavillon de lEtat membre ou enregistres dans lEtat membre vise a ladite annexe ont atteint le quota attribue pour 2006.  3 Il y a donc lieu dinterdire la peche de poissons de ce stock ainsi que leur conservation a bord leur transbordement et leur debarquement A ARRETE LE PRESENT REGLEMENT Article premier.  Epuisement du quota.  Le quota de peche attribue pour 2006 a lEtat membre et pour le stock vises a lannexe du present reglement est repute epuise a compter de la date indiquee a ladite annexe.  Article 2.  Interdictions.  La peche du stock vise a lannexe du present reglement par les navires battant pavillon de lEtat membre ou enregistres dans lEtat membre vise a ladite annexe est interdite a compter de la date indiquee dans cette annexe.  Apres cette date la conservation a bord le transbordement et le debarquement de poissons du stock concerne captures par lesdits navires sont egalement interdits.  Article 3.  Entree en vigueur.  Le present reglement entre en vigueur le jour suivant celui de sa publication au Journal officiel de lUnion europeenne.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1725-fr,Reglement CE n o 1725/2006 de la Commission du 22 novembre 2006 fixant les prix representatifs dans les secteurs de la viande de volaille et des ufs ainsi que pour l'ovalbumine et modifiant le reglement CE n o 1484/95,"Reglement CE no 17252006 de la Commission.  du 22 novembre 2006.  fixant les prix representatifs dans les secteurs de la viande de volaille et des ufs ainsi que pour l'ovalbumine et modifiant le reglement CE no 148495.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CEE no 277175 du Conseil du 29 octobre 1975 portant organisation commune des marches dans le secteur des ufs 1 et notamment son article 5 paragraphe 4 vu le reglement CEE no 277775 du Conseil du 29 octobre 1975 portant organisation commune des marches dans le secteur de la viande de volaille 2 et notamment son article 5 paragraphe 4 vu le reglement CEE no 278375 du Conseil du 29 octobre 1975 concernant le regime commun d'echanges pour l'ovalbumine et la lactalbumine 3 et notamment son article 3 paragraphe 4 considerant ce qui suit 1 Le reglement CE no 148495 de la Commission 4 a fixe les modalites d'application du regime relatif a l'application des droits additionnels a l'importation et a fixe les prix representatifs dans les secteurs de la viande de volaille et des ufs ainsi que pour l'ovalbumine.  2 Il resulte du controle regulier des donnees sur lesquelles est basee la determination des prix representatifs pour les produits des secteurs de la viande de volaille et des ufs ainsi que pour l'ovalbumine qu'il s'impose de modifier les prix representatifs pour les importations de certains produits en tenant compte de variations des prix selon l'origine.  Il convient des lors de publier les prix representatifs.  3 Il est necessaire d'appliquer cette modification dans les plus brefs delais compte tenu de la situation du marche.  4 Les mesures prevues au present reglement sont conformes a l'avis du comite de gestion de la viande de volaille et des ufs A ARRETE LE PRESENT REGLEMENT Article premier.  L'annexe I du reglement CE no 148495 est remplacee par l'annexe du present reglement.  Article 2.  Le present reglement entre en vigueur le 23 novembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1727-fr,Reglement CE n o 1727/2006 de la Commission du 23 novembre 2006 fixant les restitutions a lexportation pour le sucre blanc et le sucre brut exportes en letat,"Reglement CE no 17272006 de la Commission.  du 23 novembre 2006.  fixant les restitutions a lexportation pour le sucre blanc et le sucre brut exportes en letat.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 3182006 du Conseil du 20 fevrier 2006 portant organisation commune des marches dans le secteur du sucre 1 et notamment son article 33 paragraphe 2 deuxieme alinea considerant ce qui suit 1 Aux termes de larticle 32 du reglement CE no 3182006 la difference entre les prix des produits vises a l'article 1er paragraphe 1 point b dudit reglement sur le marche mondial et sur le marche communautaire peut etre couverte par une restitution a lexportation.  2 Eu egard a la situation actuelle du marche dans le secteur du sucre des restitutions a lexportation doivent etre fixees conformement aux regles et a certains criteres prevus aux articles 32 et 33 du reglement CE no 3182006.  3 Le premier alinea de larticle 33 paragraphe 2 du reglement CE no 3182006 dispose que la restitution peut etre differenciee selon les destinations lorsque la situation du marche mondial ou les exigences specifiques de certains marches le justifient.  4 Seules peuvent etre allouees des restitutions aux produits autorises a circuler librement dans la Communaute et qui remplissent les conditions du reglement CE no 3182006.  5 Les negociations dans le cadre des accords europeens entre la Communaute europeenne et la Roumanie et la Bulgarie visent tout particulierement a liberaliser les echanges des produits regis par lorganisation commune de marche concernee.  Il importe donc de supprimer les restitutions a lexportation pour ces deux pays.  6 Les mesures prevues au present reglement sont conformes a l'avis du comite de gestion du sucre A ARRETE LE PRESENT REGLEMENT Article premier.  Les produits beneficiant des restitutions a lexportation prevues a larticle 32 du reglement CE no 3182006 et les montants de ces restitutions sont specifies a lannexe du present reglement.  Article 2.  Le present reglement entre en vigueur le 24 novembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1753-fr,Reglement CE n o 1753/2006 de la Commission du 28 novembre 2006 modifiant le reglement CE n o 669/97 du Conseil portant ouverture et mode de gestion de contingents tarifaires communautaires pour certains poissons et produits de la peche originaires des iles Feroe et definissant certaines modalites d'amendement et d'adaptation desdites mesures ainsi qu'abrogeant le reglement CE n o 1983/95,"Reglement CE no 17532006 de la Commission.  du 28 novembre 2006.  modifiant le reglement CE no 66997 du Conseil portant ouverture et mode de gestion de contingents tarifaires communautaires pour certains poissons et produits de la peche originaires des iles Feroe et definissant certaines modalites d'amendement et d'adaptation desdites mesures ainsi qu'abrogeant le reglement CE no 198395.  LA COMMISSION DES COMMUNAUTES EUROPEENNES vu le traite instituant la Communaute europeenne vu le reglement CE no 66997 du Conseil du 14 avril 1997 portant ouverture et mode de gestion de contingents tarifaires communautaires pour certains poissons et produits de la peche originaires des iles Feroe et definissant certaines modalites d'amendement et d'adaptation desdites mesures ainsi qu'abrogeant le reglement CE no 198395 1 et notamment son article 5 paragraphe 1 point b considerant ce qui suit 1 La decision no 12006 du comite mixte CE-Danemarkiles Feroe du 13 juillet 2006 2 a modifie le tableau II de lannexe au protocole 1 de laccord entre la Communaute europeenne dune part et le gouvernement du Danemark et le gouvernement local des iles Feroe dautre part en augmentant le contingent tarifaire annuel pour les crevettes et langoustines preparees ou conservees le faisant passer de 3000 a 4000 tonnes.  La decision a pris effet le 1er septembre 2006.  2 Le volume du contingent tarifaire annuel pour les crevettes et langoustines enumere a l'annexe du reglement CE no 66997 sous le numero d'ordre 09. 0679 doit etre amende pour tenir compte de cette augmentation.  3 Les mesures prevues dans le present reglement sont conformes a l'avis du code des douanes communautaire A ARRETE LE PRESENT REGLEMENT Article premier.  L'annexe du reglement CE no 66997 est modifiee comme suit Dans le tableau pour le numero d'ordre 09. 0679 concernant le contingent tarifaire annuel pour les crevettes et langoustines preparees ou conservees le volume indique dans la sixieme colonne 3000 tonnes est remplace par 4000 tonnes.  Article 2.  Le present reglement entre en vigueur le jour suivant celui de sa publication au Journal officiel de l'Union europeenne.  Il est applicable a partir du 1er septembre 2006.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
jrc32006R1756-fr,Reglement CE n o 1756/2006 du Conseil du 28 novembre 2006 modifiant le reglement CE n o 2667/2000 relatif a lAgence europeenne pour la reconstruction,"Reglement CE no 17562006 du Conseil.  du 28 novembre 2006.  modifiant le reglement CE no 26672000 relatif a lAgence europeenne pour la reconstruction.  LE CONSEIL DE LUNION EUROPEENNE vu le traite instituant la Communaute europeenne et notamment son article 181 A paragraphe 2 premiere phrase vu la proposition de la Commission vu lavis du Parlement europeen 1 considerant ce qui suit 1 Lassistance communautaire prevue par le reglement CE no 26662000 du Conseil du 5 decembre 2000 relatif a laide a lAlbanie a la Bosnie-et-Herzegovine a la Croatie a la Republique federale de Yougoslavie et a lancienne Republique yougoslave de Macedoine et abrogeant le reglement CE no 162896 ainsi que modifiant les reglements CEE no 390689 et CEE no 136090 et les decisions 97256CE et 1999311CE 2 programme CARDS est mise en uvre en Serbie-et-Montenegro y compris au Kosovo selon le statut defini dans la resolution 1244 du Conseil de securite de lOrganisation des Nations unies du 10 juin 1999 ainsi que dans lancienne Republique yougoslave de Macedoine par lAgence europeenne pour la reconstruction instituee par le reglement CE no 26672000 du Conseil 3.  2 Le reglement CE no 26672000 sapplique jusquau 31 decembre 2006.  3 Conformement au reglement CE no 26672000 la Commission doit presenter un rapport au Conseil sur lavenir du mandat de lAgence europeenne pour la reconstruction.  4 La Commission a soumis ce rapport au Conseil ainsi quau Parlement europeen pour information le 23 decembre 2005.  5 Elle y proposait de mettre fin aux activites de lAgence europeenne pour la reconstruction tout en prolongeant neanmoins ses mandat et statut actuels pour une duree de deux ans soit jusquau 31 decembre 2008 de maniere a lui permettre de se desengager du programme CARDS.  6 Le reglement CE no 26672000 devrait donc etre modifie en consequence A ARRETE LE PRESENT REGLEMENT Article premier.  A larticle 16 du reglement CE no 26672000 la date du 31 decembre 2006 est remplacee par celle du 31 decembre 2008.  Article 2.  Le present reglement entre en vigueur le jour suivant celui de sa publication au Journal officiel de lUnion europeenne.  Le present reglement est obligatoire dans tous ses elements et directement applicable dans tout Etat membre.   "
